type,code,name,yobi,naikei,gaikei,atsumi,company,1＝在庫表に載ってないけどある
9RWBK,9RWBK00001/22.3,黒丸座（小箱入）,1/2,14.5,32,2.3,生地,
9RWBK,9RWBK00201/22.3,黒丸座（小箱入）ﾕﾆｸﾛ,1/2,14.5,32,2.3,ユニクロ,
9RWBK,9RWBK00101/22.3,黒丸座（小箱入）ﾄﾞﾌﾞ,1/2,14.5,32,2.3,ドブ,
9RWBK,9RWBK00301/22.3,黒丸座（小箱入）ｸﾛﾒｰﾄ,1/2,14.5,32,2.3,クロメート,
RWBK,RWBK00001/23.2,黒丸座（小箱入）,1/2,14.5,32,3.2,生地,
RWBK,RWBK00101/23.2,黒丸座（小箱入）ﾄﾞﾌﾞ,1/2,14.5,32,3.2,ドブ,
RWBK,RWBK00201/23.2,黒丸座（小箱入）ﾕﾆｸﾛ,1/2,14.5,32,3.2,ユニクロ,
RWBK,RWBK00301/23.2,黒丸座（小箱入）ｸﾛﾒｰﾄ,1/2,14.5,32,3.2,クロメート,
RWBK,RWBK10301/23.2,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,1/2,14.5,32,3.2,三価クロメート,
9RWBK,9RWBK00201/23.2,黒丸座（小箱入）ﾕﾆｸﾛ,1/2,14.5,32,3.2,ユニクロ,
9RWBK,9RWBK00001/23.2,黒丸座（小箱入）,1/2,14.5,32,3.2,生地,
9RWBK,9RWBK00101/23.2,黒丸座（小箱入）ﾄﾞﾌﾞ,1/2,14.5,32,3.2,ドブ,
RWBK,RWBK00005/82.3,黒丸座（小箱入）,5/8,18,38,2.3,生地,
RWBK,RWBK00105/82.3,黒丸座（小箱入）ﾄﾞﾌﾞ,5/8,18,38,2.3,ドブ,
RWBK,RWBK00205/82.3,黒丸座（小箱入）ﾕﾆｸﾛ,5/8,18,38,2.3,ユニクロ,
RWBK,RWBK00305/82.3,黒丸座（小箱入）ｸﾛﾒｰﾄ,5/8,18,38,2.3,クロメート,
RWBK,RWBK10305/82.3,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,5/8,18,38,2.3,三価クロメート,
9RWBK,9RWBK00005/82.3,黒丸座（小箱入）,5/8,18,38,2.3,生地,
9RWBK,9RWBK00205/82.3,黒丸座（小箱入）ﾕﾆｸﾛ,5/8,18,38,2.3,ユニクロ,
9RWBK,9RWBK00105/82.3,黒丸座（小箱入）ﾄﾞﾌﾞ,5/8,18,38,2.3,ドブ,
9RWBK,9RWBK00305/82.3,黒丸座（小箱入）ｸﾛﾒｰﾄ,5/8,18,38,2.3,クロメート,
RWBK,RWBK00005/83.2,黒丸座（小箱入）,5/8,18,38,3.2,生地,
RWBK,RWBK00105/83.2,黒丸座（小箱入）ﾄﾞﾌﾞ,5/8,18,38,3.2,ドブ,
RWBK,RWBK00205/83.2,黒丸座（小箱入）ﾕﾆｸﾛ,5/8,18,38,3.2,ユニクロ,
RWBK,RWBK00305/83.2,黒丸座（小箱入）ｸﾛﾒｰﾄ,5/8,18,38,3.2,クロメート,
RWBK,RWBK10305/83.2,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,5/8,18,38,3.2,三価クロメート,
9RWBK,9RWBK00205/83.2,黒丸座（小箱入）ﾕﾆｸﾛ,5/8,18,38,3.2,ユニクロ,
9RWBK,9RWBK00005/83.2,黒丸座（小箱入）,5/8,18,38,3.2,生地,
9RWBK,9RWBK00105/83.2,黒丸座（小箱入）ﾄﾞﾌﾞ,5/8,18,38,3.2,ドブ,
9RWBK,9RWBK00305/83.2,黒丸座（小箱入）ｸﾛﾒｰﾄ,5/8,18,38,3.2,クロメート,
RWBK,RWBK00003/43.2,黒丸座（小箱入）,3/4,22,45,3.2,生地,
RWBK,RWBK00103/43.2,黒丸座（小箱入）ﾄﾞﾌﾞ,3/4,22,45,3.2,ドブ,
RWBK,RWBK00203/43.2,黒丸座（小箱入）ﾕﾆｸﾛ,3/4,22,45,3.2,ユニクロ,
RWBK,RWBK00303/43.2,黒丸座（小箱入）ｸﾛﾒｰﾄ,3/4,22,45,3.2,クロメート,
RWBK,RWBK10303/43.2,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,3/4,22,45,3.2,三価クロメート,
9RWBK,9RWBK00003/43.2,黒丸座（小箱入）,3/4,22,45,3.2,生地,
9RWBK,9RWBK00203/43.2,黒丸座（小箱入）ﾕﾆｸﾛ,3/4,22,45,3.2,ユニクロ,
9RWBK,9RWBK00103/43.2,黒丸座（小箱入）ﾄﾞﾌﾞ,3/4,22,45,3.2,ドブ,
RWBK,RWBK00007/83.2,黒丸座（小箱入）,7/8,24,50,3.2,生地,
RWBK,RWBK00107/83.2,黒丸座（小箱入）ﾄﾞﾌﾞ,7/8,24,50,3.2,ドブ,
RWBK,RWBK00207/83.2,黒丸座（小箱入）ﾕﾆｸﾛ,7/8,24,50,3.2,ユニクロ,
RWBK,RWBK00307/83.2,黒丸座（小箱入）ｸﾛﾒｰﾄ,7/8,24,50,3.2,クロメート,
9RWBK,9RWBK00007/83.2,黒丸座（小箱入）,7/8,24,50,3.2,生地,
9RWBK,9RWBK00207/83.2,黒丸座（小箱入）ﾕﾆｸﾛ,7/8,24,50,3.2,ユニクロ,
9RWBK,9RWBK00107/83.2,黒丸座（小箱入）ﾄﾞﾌﾞ,7/8,24,50,3.2,ドブ,
RWBK,"RWBK00001""3.2",黒丸座（小箱入）,"1""",28,57,3.2,生地,
RWBK,"RWBK00101""3.2",黒丸座（小箱入）ﾄﾞﾌﾞ,"1""",28,57,3.2,ドブ,
RWBK,"RWBK00201""3.2",黒丸座（小箱入）ﾕﾆｸﾛ,"1""",28,57,3.2,ユニクロ,
9RWBK,"9RWBK00201""3.2",黒丸座（小箱入）ﾕﾆｸﾛ,"1""",28,57,3.2,ユニクロ,
9RWBK,"9RWBK00001""3.2",黒丸座（小箱入）,"1""",28,57,3.2,生地,
9RWBK,"9RWBK00101""3.2",黒丸座（小箱入）ﾄﾞﾌﾞ,"1""",28,57,3.2,ドブ,
RWBK,RWBK000011/83.2,黒丸座（小箱入）,11/8,33,65,3.2,生地,
RWBK,RWBK001011/83.2,黒丸座（小箱入）ﾄﾞﾌﾞ,11/8,33,65,3.2,ドブ,
RWBK,RWBK002011/83.2,黒丸座（小箱入）ﾕﾆｸﾛ,11/8,33,65,3.2,ユニクロ,
9RWBK,9RWBK002011/83.2,黒丸座（小箱入）ﾕﾆｸﾛ,11/8,33,65,3.2,ユニクロ,
9RWBK,9RWBK000011/83.2,黒丸座（小箱入）,11/8,33,65,3.2,生地,
RWBK,RWBK000011/43.2,黒丸座（小箱入）,11/4,36,70,3.2,生地,
RWBK,RWBK001011/43.2,黒丸座（小箱入）ﾄﾞﾌﾞ,11/4,36,70,3.2,ドブ,
RWBK,RWBK002011/43.2,黒丸座（小箱入）ﾕﾆｸﾛ,11/4,36,70,3.2,ユニクロ,
9RWBK,9RWBK002011/43.2,黒丸座（小箱入）ﾕﾆｸﾛ,11/4,36,70,3.2,ユニクロ,
9RWBK,9RWBK000011/43.2,黒丸座（小箱入）,11/4,36,70,3.2,生地,
9RWM,9RWM2000380.5,JIS磨丸座,3,3.3,8,0.5,生地,
